group_folder,source_file,device_group,sweep,dose_krad_si,data_sheets,sheet_names,bytes,modified_time,sha256
S_transfer,S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S,transfer,0,3,"S1-0k,S2-0k,S3-0k",58233,1783769942.0,8671f39b0a22df7ee32ab8144b0ac9363cd26d8db56a9b78af9aa0933d457b05
S_transfer,S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S,transfer,10,3,"S1-10K,S2-10K,S3-10K",58850,1783769996.0,4e95d22ce1eac06a4e1c401cd6abebe3d12926682c71cf2c3b3115a498bb329b
S_transfer,S转移特性曲线\S转移特性曲线\vgs-id#S-20K.xlsx,S,transfer,20,3,"S1-20K,S2-20K,S3-20K",59324,1783770060.0,6a8b868ab54e5703bb5263488793809989611854ceafa1928f4b9595aff78956
S_transfer,S转移特性曲线\S转移特性曲线\vgs-id#S-30K.xlsx,S,transfer,30,3,"S1-30K,S2-30K,S3-30K",53465,1783770114.0,0f7ac6d4ec28c85e7d40925341d90bee65dbcdcd7bf0e93052d26228d9d0d09b
S_transfer,S转移特性曲线\S转移特性曲线\vgs-id#S-40K.xlsx,S,transfer,40,3,"S1-40K,S2-40K,S3-40K",52726,1783770166.0,6b020c7d4c5b45391f3e1e6f402b798a9eb844722832a3c3cdb50220dc1b6e6e
S_transfer,S转移特性曲线\S转移特性曲线\vgs-id#S-50K.xlsx,S,transfer,50,3,"S1-50K,S2-50K,S3-50K",52701,1783770212.0,9324f02411850519c81d681c05318a7ed1145a52b6262f50c071ef475d30282c
S_transfer,S转移特性曲线\S转移特性曲线\vgs-id#S-60K.xlsx,S,transfer,60,3,"S1-60K,S2-60K,S3-60K",58663,1783770256.0,4e1bdd9f414149ee8efe14695bd636849f29e7d7fdce7936a13fdb4af157326b
T_transfer,T转移特性曲线\vgs-id#T-0K.xlsx,T,transfer,0,3,"T1-0k,T2-0k,T3-0k",58811,1783769864.0,80af755e6ff375cd45268ed8df7cbcc2a0317493852e27020a77dd43e6739972
T_transfer,T转移特性曲线\vgs-id#T-10K.xlsx,T,transfer,10,3,"T1-10K,T2-10K,T3-10K",60725,1783769972.0,e2e32da3deefe6d86bfb667f617fac98a3b6f23064abb1f2fbee809c03caa444
T_transfer,T转移特性曲线\vgs-id#T-20K.xlsx,T,transfer,20,3,"T1-20K,T2-20K,T3-20K",60621,1783770032.0,d7664863894075fcc4917b2e8a9b160f94dad933a3a6bbac34f4b247a0cc8e57
T_transfer,T转移特性曲线\vgs-id#T-30K.xlsx,T,transfer,30,3,"T1-30K,T2-30K,T3-30K",55037,1783770082.0,1c0d14f57bd2d181551ca0be142bc4ba53eb7773886813cf5f6bbfc8c7a601ea
T_transfer,T转移特性曲线\vgs-id#T-40K.xlsx,T,transfer,40,3,"T1-40K,T2-40K,T3-40K",55369,1783770138.0,0c575ce5702cdeb92917d2a3170c0e71c3edc0d94e28eac040688693389ad439
T_transfer,T转移特性曲线\vgs-id#T-50K.xlsx,T,transfer,50,3,"T1-50K,T2-50K,T3-50K",52422,1783770192.0,adb9f702c06e0a2648ab4def0bd5c101749a4d7f560ccdb0f5f74facd4bb5ac0
T_transfer,T转移特性曲线\vgs-id#T-60K.xlsx,T,transfer,60,3,"T1-60K,T2-60K,T3-60K",58124,1783770236.0,3aad4ae77c2ad326264a5b9ac812ed9f270a893cac22981f1465c03467b4c6d1
S_output,S输出特性曲线\vds-id#S-0K.xlsx,S,output,0,3,"S1-0k,S2-0k,S3-0k",25507,1783770306.0,e16087e7bd9872f2acb81ff5b363fab455a0372812ccc459b0f40b8b2d7f09e1
S_output,S输出特性曲线\vds-id#S-10K.xlsx,S,output,10,3,"S1-10K,S2-10K,S3-10K",25488,1783770356.0,f1ce37a76331559ff32f7e1026d73a19ef2fbe0e2066cbb94d010c4e85e5ed70
S_output,S输出特性曲线\vds-id#S-20K.xlsx,S,output,20,4,"S1-20K,S2-20K,S3-20K,s3-20K-2",32326,1783770408.0,a542fffaa6b9b0b046f4ed5dfb87514790420d95b81d94c61bd6c0e3a9a92c4f
S_output,S输出特性曲线\vds-id#S-30K.xlsx,S,output,30,5,"S1-30K,S1-30K-2,S2-30K,S2-30K-2,S3-30K",39336,1783770460.0,6e717eac93a77225ccef03c49b622298b41693ae2e2c1b41a2f284d66a84387b
S_output,S输出特性曲线\vds-id#S-40K.xlsx,S,output,40,5,"S1-40K,S2-40K,S2-40K-2,S3-40K,S3-40K-2",39578,1783770504.0,4bb01ce82cd5c473a82d94d63e3bd1698b25adc4980e23c5dc8782ae839ebcfe
S_output,S输出特性曲线\vds-id#S-50K.xlsx,S,output,50,6,"S1-50K,S2-50K,S2-50K-2,S3-50K,S3-50K-2,S3-50K-3",46400,1783770554.0,e9c38ee80da051edda9f31673bce858cc19a98abfb2e2e83da90a28c4c037df7
S_output,S输出特性曲线\vds-id#S-60K.xlsx,S,output,60,8,"S1-60K,S1-60K-2,S2-60K,S2-60K-2,S3-60K,S3-60K-2,S3-60K-3,S3-60K-4",59901,1783770612.0,f98b155605229992eb69fd71990aedac038b5ab872045f4cd5ba517ff6317a43
T_output,T输出特性曲线\vds-id#T-0K.xlsx,T,output,0,3,"T1-0k,T2-0k,T3-0k",25012,1783770282.0,6f4286a67ce6821a7fba160534fda227320c93239be6a819593dfc51cf3734ce
T_output,T输出特性曲线\vds-id#T-10K.xlsx,T,output,10,3,"T1-10K,T2-10K,T3-10K",25205,1783770334.0,93932d30a58e1909d66e4f20f9c652bf6024e7d5a687bc9ee865093716ccdd9c
T_output,T输出特性曲线\vds-id#T-20K.xlsx,T,output,20,3,"T1-20K,T2-20K,T3-20K",25105,1783770382.0,6b1c53c222bf27ed39e9f2d1e20c30355746b612149f87ffeb695f55e209a441
T_output,T输出特性曲线\vds-id#T-30K.xlsx,T,output,30,3,"T1-30K,T2-30K,T3-30K",25298,1783770434.0,8823d4233abc0e69e011cd3439b3f20a87580f13ee470610f56486e633bca23d
T_output,T输出特性曲线\vds-id#T-40K.xlsx,T,output,40,3,"T1-40K,T2-40K,T3-40K",25351,1783770480.0,3fe83bd7a9ad9fa2afb7ec77bb09fba686173b7f02834cde043ff43e4dd5b3dc
T_output,T输出特性曲线\vds-id#T-50K.xlsx,T,output,50,3,"T1-50K,T2-50K,T3-50K",25185,1783770530.0,0e1791cc14d961d8d2ff9931839d0b0c2184e4e7305aeda6dec535b3515614e2
T_output,T输出特性曲线\vds-id#T-60K.xlsx,T,output,60,3,"T1-60K,T2-60K,T3-60K",25201,1783770576.0,5c05d3c71628fcaf82ba9e99356ba18ef94afc36794b5ced6708b145b70c9ec4
